id,repair_request_id,description,amount,created_at
"1,2,Φύλαξη μπροστινός οθόνης,15.00,2026-03-04 00:43:28.603403"
"2,1,Αλλαγή οθόνης,50.00,2026-03-04 00:43:52.476491"
